national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical
213,II,Shuckle,Tsubotsubo,bug,rock,Mold Pokémon,50.2,49.8,0.6,20.5,190,5120,20,10,230,10,230,5,"['Sturdy', 'Gluttony', 'Contrary (Hidden Ability)']",0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,0.0,0.0,0.0
214,II,Heracross,Heracros,bug,fighting,Singlehorn Pokémon,50.2,49.8,1.5,54.0,45,6400,80,125,75,40,95,85,"['Swarm', 'Guts', 'Moxie (Hidden Ability)']",1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,0.0,0.0,0.0
215,II,Sneasel,Nyula,dark,ice,Sharp Claw Pokémon,50.2,49.8,0.9,28.0,60,5120,55,95,55,35,75,115,"['Inner Focus', 'Keen Eye', 'Pickpocket (Hidden Ability)']",1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,0.0,0.0,0.0
216,II,Teddiursa,Himeguma,normal,,Little Bear Pokémon,50,50,0.6,8.8,120,5120,60,80,50,50,50,40,"['Pickup', 'Quick Feet', 'Honey Gather (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
217,II,Ursaring,Ringuma,normal,,Hibernator Pokémon,50,50,1.8,125.8,60,5120,90,130,75,75,75,55,"['Guts', 'Quick Feet', 'Unnerve (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
218,II,Slugma,Magmag,fire,,Lava Pokémon,50,50,0.7,35,190,5120,40,40,40,70,40,20,"['Magma Armor', 'Flame Body', 'Weak Armor (Hidden Ability)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
219,II,Magcargo,Magcargot,fire,rock,Lava Pokémon,50,50,0.8,55,75,5120,60,50,120,90,80,30,"['Magma Armor', 'Flame Body', 'Weak Armor (Hidden Ability)']",0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,0.0,0.0,0.0
220,II,Swinub,Urimoo,ice,ground,Pig Pokémon,50.2,49.8,0.4,6.5,225,5120,50,50,40,30,30,50,"['Oblivious', 'Snow Cloak', 'Thick Fat (Hidden Ability)']",1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0.0,0.0,0.0
221,II,Piloswine,Inomoo,ice,ground,Swine Pokémon,50.2,49.8,1.1,55.8,75,5120,100,100,80,60,60,50,"['Oblivious', 'Snow Cloak', 'Thick Fat (Hidden Ability)']",1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0.0,0.0,0.0
222,II,Corsola,Sunnygo,water,rock,Coral Pokémon,24.9,75.1,0.6,5.0,60,5120,65,55,95,65,95,35,"['Hustle', 'Natural Cure', 'Regenerator (Hidden) (Normal Forme)', 'Weak Armor- Cursed Body (Hidden)  (Galarian Form)']",0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,0.0,0.0,0.0
223,II,Remoraid,Teppouo,water,,Jet Pokémon,50.2,49.8,0.6,12.0,190,5120,35,65,35,65,35,65,"['Hustle', 'Sniper', 'Moody (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
224,II,Octillery,Okutank,water,,Jet Pokémon,50.2,49.8,0.9,28.5,75,5120,75,105,75,105,75,45,"['Suction Cups', 'Sniper', 'Moody (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
225,II,Delibird,Delibird,ice,flying,Delivery Pokémon,50.2,49.8,0.9,16.0,45,5120,45,55,45,65,45,75,"['Vital Spirit', 'Hustle', 'Insomnia (Hidden Ability)']",1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1,0.0,0.0,0.0
226,II,Mantine,Mantain,water,flying,Kite Pokémon,50.2,49.8,2.1,220.0,25,6400,85,40,70,80,140,70,"['Swift Swim', 'Water Absorb', 'Water Veil (Hidden Ability)']",1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,0.0,0.0,0.0
227,II,Skarmory,Airmd,steel,flying,Armor Bird Pokémon,50.2,49.8,1.7,50.5,25,6400,65,80,140,40,70,70,"['Keen Eye', 'Sturdy', 'Weak Armor (Hidden Ability)']",0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5,0.0,0.0,0.0
228,II,Houndour,Delvil,dark,fire,Dark Pokémon,50,50,0.6,10.8,120,5120,45,60,30,80,50,65,"['Early Bird', 'Flash Fire', 'Unnerve (Hidden Ability)']",1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,0.0,0.0,0.0
229,II,Houndoom,Hellgar,dark,fire,Dark Pokémon,50,50,1.4,35,45,5120,75,90,50,110,80,95,"['Early Bird', 'Flash Fire', 'Unnerve (Hidden Ability)']",1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,0.0,0.0,0.0
230,II,Kingdra,Kingdra,water,dragon,Dragon Pokémon,50.2,49.8,1.8,152.0,45,5120,75,95,95,95,95,85,"['Swift Swim', 'Sniper', 'Damp (Hidden Ability)']",1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,0.0,0.0,0.0
231,II,Phanpy,Gomazou,ground,,Long Nose Pokémon,50,50,0.5,33.5,120,5120,90,60,60,40,40,40,"['Pickup', 'Sand Veil (Hidden Ability)']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.0,0.0,0.0
232,II,Donphan,Donfan,ground,,Armor Pokémon,50,50,1.1,120,60,5120,90,120,120,60,60,50,"['Sturdy', 'Sand Veil (Hidden Ability)']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.0,0.0,0.0
233,II,Porygon2,Porygon2,normal,,Virtual Pokémon,,,0.6,32.5,45,5120,85,80,90,105,95,60,"['Trace', 'Download', 'Analytic (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
234,II,Stantler,Odoshishi,normal,,Big Horn Pokémon,50,50,1.4,71.2,45,5120,73,95,62,85,65,85,"['Intimidate', 'Frisk', 'Sap Sipper (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
235,II,Smeargle,Doble,normal,,Painter Pokémon,50,50,1.2,58,45,5120,55,20,35,20,45,75,"['Own Tempo', 'Technician', 'Moody (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
236,II,Tyrogue,Balkie,fighting,,Scuffle Pokémon,100,0,0.7,21.0,75,6400,35,35,35,35,35,35,"['Guts', 'Steadfast', 'Vital Spirit (Hidden Ability)']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.0,0.0,0.0
237,II,Hitmontop,Kapoerer,fighting,,Handstand Pokémon,100,0,1.4,48.0,45,6400,50,95,95,35,110,70,"['Intimidate', 'Technician', 'Steadfast (Hidden Ability)']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.0,0.0,0.0
238,II,Smoochum,Muchul,ice,psychic,Kiss Pokémon,0,100,0.4,6.0,45,6400,45,30,15,85,65,65,"['Oblivious', 'Forewarn', 'Hydration (Hidden Ability)']",1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,0.0,0.0,0.0
239,II,Elekid,Elekid,electric,,Electric Pokémon,75.49,24.51,0.6,23.5,45,6400,45,63,37,65,55,95,"['Static', 'Vital Spirit (Hidden Ability)']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
240,II,Magby,Buby,fire,,Live Coal Pokémon,75.49,24.51,0.7,21.4,45,6400,45,75,37,70,55,83,"['Flame Body', 'Vital Spirit (Hidden Ability)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
241,II,Miltank,Miltank,normal,,Milk Cow Pokémon,0,100,1.2,75.5,45,5120,95,80,105,40,70,100,"['Thick Fat', 'Scrappy', 'Sap Sipper (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
242,II,Blissey,Happinas,normal,,Happiness Pokémon,0,100,1.5,46.8,30,10240,255,10,10,75,135,55,"['Natural Cure', 'Serene Grace', 'Healer (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
243,II,Raikou,Raikou,electric,,Thunder Pokémon,,,1.9,178.0,3,20480,90,85,75,115,100,115,"['Pressure', 'Inner Focus (Hidden Ability)']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,1.0,0.0,0.0
244,II,Entei,Entei,fire,,Volcano Pokémon,,,2.1,198.0,3,20480,115,115,85,90,75,100,"['Pressure', 'Inner Focus (Hidden Ability)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1.0,0.0,0.0
245,II,Suicune,Suicune,water,,Aurora Pokémon,,,2.0,187.0,3,20480,100,75,115,90,115,85,"['Pressure', 'Inner Focus (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.0,0.0,0.0
246,II,Larvitar,Yogiras,rock,ground,Rock Skin Pokémon,50.2,49.8,0.6,72.0,45,10240,50,64,50,45,50,41,"['Guts', 'Sand Veil (Hidden Ability)']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0.0,0.0,0.0
247,II,Pupitar,Sanagiras,rock,ground,Hard Shell Pokémon,50.2,49.8,1.2,152.0,45,10240,70,84,70,65,70,51,['Shed Skin'],0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0.0,0.0,0.0
248,II,Tyranitar,Bangiras,rock,dark,Armor Pokémon,50.2,49.8,2.0,202.0,45,10240,100,134,110,95,100,61,"['Sand Stream', 'Unnerve (Hidden Ability)']",0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2,0.0,0.0,0.0
249,II,Lugia,Lugia,psychic,flying,Diving Pokémon,,,5.2,216.0,3,30720,106,90,130,90,154,110,"['Pressure', 'Multiscale (Hidden Ability)']",1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,0.0,1.0,0.0
250,II,Ho-Oh,Houou,fire,flying,Rainbow Pokémon,,,3.8,199.0,3,30720,106,130,90,110,154,90,"['Pressure', 'Regenerator (Hidden Ability)']",1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,0.0,1.0,0.0
251,II,Celebi,Celebi,psychic,grass,Time Travel Pokémon,,,0.6,5.0,45,30720,100,100,100,100,100,100,['Natural Cure'],1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,0.0,0.0,1.0
252,III,Treecko,Kimori,grass,,Wood Gecko Pokémon,88.14,11.86,0.5,5.0,45,5120,40,45,35,65,55,70,"['Overgrow', 'Unburden (Hidden Ability)']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.0,0.0,0.0
253,III,Grovyle,Juptile,grass,,Wood Gecko Pokémon,88.14,11.86,0.9,21.6,45,5120,50,65,45,85,65,95,"['Overgrow', 'Unburden (Hidden Ability)']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.0,0.0,0.0
254,III,Sceptile,Jukain,grass,,Forest Pokémon,88.14,11.86,1.7,52.2,45,5120,70,85,65,105,85,120,"['Overgrow', 'Unburden (Hidden Ability)']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.0,0.0,0.0
255,III,Torchic,Achamo,fire,,Chick Pokémon,88.14,11.86,0.4,2.5,45,5120,45,60,40,70,50,45,"['Blaze', 'Speed Boost (Hidden Ability)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
256,III,Combusken,Wakasyamo,fire,fighting,Young Fowl Pokémon,88.14,11.86,0.9,19.5,45,5120,60,85,60,85,60,55,"['Blaze', 'Speed Boost (Hidden Ability)']",1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,0.0,0.0,0.0
257,III,Blaziken,Bursyamo,fire,fighting,Blaze Pokémon,88.14,11.86,1.9,52.0,45,5120,80,120,70,110,70,80,"['Blaze', 'Speed Boost (Hidden Ability)']",1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,0.0,0.0,0.0
258,III,Mudkip,Mizugorou,water,,Mud Fish Pokémon,88.14,11.86,0.4,7.6,45,5120,50,70,50,50,50,40,"['Torrent', 'Damp (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
259,III,Marshtomp,Numacraw,water,ground,Mud Fish Pokémon,88.14,11.86,0.7,28.0,45,5120,70,85,70,60,70,50,"['Torrent', 'Damp (Hidden Ability)']",1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0.0,0.0,0.0
260,III,Swampert,Laglarge,water,ground,Mud Fish Pokémon,88.14,11.86,1.5,81.9,45,5120,100,110,90,85,90,60,"['Torrent', 'Damp (Hidden Ability)']",1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0.0,0.0,0.0
261,III,Poochyena,Pochiena,dark,,Bite Pokémon,50,50,0.5,13.6,255,3840,35,55,35,30,30,35,"['Run Away', 'Quick Feet', 'Rattled (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0.0,0.0,0.0
262,III,Mightyena,Graena,dark,,Bite Pokémon,50,50,1,37,127,3840,70,90,70,60,60,70,"['Intimidate', 'Quick Feet', 'Moxie (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0.0,0.0,0.0
263,III,Zigzagoon,Jiguzaguma,normal,dark,Tiny Racoon Pokémon,50.2,49.8,0.4,17.5,255,3840,38,30,41,30,41,60,"['Pickup', 'Gluttony', 'Quick Feet (Hidden) (Normal Forme)', 'Pickup- Gluttony', 'Quick Feet (Hidden)  (Galarian Form)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
264,III,Linoone,Massuguma,normal,dark,Rush Pokémon,50.2,49.8,0.5,32.5,90,3840,78,70,61,50,61,100,"['Pickup', 'Gluttony', 'Quick Feet (Hidden) (Normal Forme)', 'Pickup- Gluttony', 'Quick Feet (Hidden)  (Galarian Form)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
265,III,Wurmple,Kemusso,bug,,Worm Pokémon,50,50,0.3,3.6,255,3840,45,45,35,20,30,20,"['Shield Dust', 'Run Away (Hidden Ability)']",1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.0,0.0,0.0
266,III,Silcoon,Karasalis,bug,,Cocoon Pokémon,50,50,0.6,10,120,3840,50,35,55,25,25,15,['Shed Skin'],1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.0,0.0,0.0
267,III,Beautifly,Agehunt,bug,flying,Butterfly Pokémon,50,50,1,28.4,45,3840,60,70,50,100,50,65,"['Swarm', 'Rivalry (Hidden Ability)']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0.0,0.0,0.0
268,III,Cascoon,Mayuld,bug,,Cocoon Pokémon,50,50,0.7,11.5,120,3840,50,35,55,25,25,15,['Shed Skin'],1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.0,0.0,0.0
269,III,Dustox,Dokucale,bug,poison,Poison Moth Pokémon,50,50,1.2,31.6,45,3840,60,50,70,50,90,65,"['Shield Dust', 'Compound Eyes (Hidden Ability)']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.0,0.0,0.0
270,III,Lotad,Hassboh,water,grass,Water Weed Pokémon,50.2,49.8,0.5,2.6,255,3840,40,30,30,40,50,30,"['Swift Swim', 'Rain Dish', 'Own Tempo (Hidden Ability)']",1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,0.0,0.0,0.0
271,III,Lombre,Hasubrero,water,grass,Jolly Pokémon,50.2,49.8,1.2,32.5,120,3840,60,50,50,60,70,50,"['Swift Swim', 'Rain Dish', 'Own Tempo (Hidden Ability)']",1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,0.0,0.0,0.0
272,III,Ludicolo,Runpappa,water,grass,Carefree Pokémon,50.2,49.8,1.5,55.0,45,3840,80,70,70,90,100,70,"['Swift Swim', 'Rain Dish', 'Own Tempo (Hidden Ability)']",1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,0.0,0.0,0.0
273,III,Seedot,Taneboh,grass,,Acorn Pokémon,50.2,49.8,0.5,4.0,255,3840,40,40,50,30,30,30,"['Chlorophyll', 'Early Bird', 'Pickpocket (Hidden Ability)']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.0,0.0,0.0
274,III,Nuzleaf,Konohana,grass,dark,Wily Pokémon,50.2,49.8,1.0,28.0,120,3840,70,70,40,60,40,60,"['Chlorophyll', 'Early Bird', 'Pickpocket (Hidden Ability)']",1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,0.0,0.0,0.0
275,III,Shiftry,Dirteng,grass,dark,Wickid Pokémon,50.2,49.8,1.3,59.6,45,3840,90,100,60,90,60,80,"['Chlorophyll', 'Early Bird', 'Pickpocket (Hidden Ability)']",1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,0.0,0.0,0.0
276,III,Taillow,Subame,normal,flying,TinySwallow Pokémon,50,50,0.3,2.3,200,3840,40,55,30,30,30,85,"['Guts', 'Scrappy (Hidden Ability)']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.0,0.0,0.0
277,III,Swellow,Ohsubame,normal,flying,Swallow Pokémon,50,50,0.7,19.8,45,3840,60,85,60,75,50,125,"['Guts', 'Scrappy (Hidden Ability)']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.0,0.0,0.0
278,III,Wingull,Camome,water,flying,Seagull Pokémon,50.2,49.8,0.6,9.5,190,5120,40,30,30,55,30,85,"['Keen Eye', 'Hydration', 'Rain Dish (Hidden Ability)']",1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,0.0,0.0,0.0
279,III,Pelipper,Pelipper,water,flying,Water Bird Pokémon,50.2,49.8,1.2,28.0,45,5120,60,50,100,95,70,65,"['Keen Eye', 'Drizzle', 'Rain Dish (Hidden Ability)']",1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,0.0,0.0,0.0
280,III,Ralts,Ralts,psychic,fairy,Feeling Pokémon,50.2,49.8,0.4,6.6,235,5120,28,25,25,45,35,40,"['Synchronize', 'Trace', 'Telepathy (Hidden Ability)']",1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,0.0,0.0,0.0
281,III,Kirlia,Kirlia,psychic,fairy,Emotion Pokémon,50.2,49.8,0.8,20.2,120,5120,38,35,35,65,55,50,"['Synchronize', 'Trace', 'Telepathy (Hidden Ability)']",1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,0.0,0.0,0.0
282,III,Gardevoir,Sirnight,psychic,fairy,Embrace Pokémon,50.2,49.8,1.6,48.4,45,5120,68,65,65,125,115,80,"['Synchronize', 'Trace', 'Telepathy (Hidden Ability)']",1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,0.0,0.0,0.0
283,III,Surskit,Ametama,bug,water,Pond Skater Pokémon,50,50,0.5,1.7,200,3840,40,30,32,50,52,65,"['Swift Swim', 'Rain Dish (Hidden Ability)']",1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1,0.0,0.0,0.0
284,III,Masquerain,Amemoth,bug,flying,Eyeball Pokémon,50,50,0.8,3.6,75,3840,70,60,62,100,82,80,"['Intimidate', 'Unnerve (Hidden Ability)']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0.0,0.0,0.0
285,III,Shroomish,Kinococo,grass,,Mushroom Pokémon,50,50,0.4,4.5,255,3840,60,40,60,40,60,35,"['Effect Spore', 'Poison Heal', 'Quick Feet (Hidden Ability)']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.0,0.0,0.0
286,III,Breloom,Kinogassa,grass,fighting,Mushroom Pokémon,50,50,1.2,39.2,90,3840,60,130,80,60,60,70,"['Effect Spore', 'Poison Heal', 'Technician (Hidden Ability)']",1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2,0.0,0.0,0.0
287,III,Slakoth,Namakero,normal,,Slacker Pokémon,50,50,0.8,24,255,3840,60,60,60,35,35,30,['Truant'],1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
288,III,Vigoroth,Yarukimono,normal,,Wild Monkey Pokémon,50,50,1.4,46.5,120,3840,80,80,80,55,55,90,['Vital Spirit'],1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
289,III,Slaking,Kekking,normal,,Lazy Pokémon,50,50,2,130.5,45,3840,150,160,100,95,65,100,['Truant'],1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
290,III,Nincada,Tutinin,bug,ground,Trainee Pokémon,50.2,49.8,0.5,5.5,255,3840,31,45,90,30,30,40,"['Compoundeyes', 'Run Away (Hidden Ability)']",1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,0.0,0.0,0.0
291,III,Ninjask,Tekkanin,bug,flying,Ninja Pokémon,50.2,49.8,0.8,12.0,120,3840,61,90,45,50,50,160,"['Speed Boost', 'Infiltrator (Hidden Ability)']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0.0,0.0,0.0
292,III,Shedinja,Nukenin,bug,ghost,Shed Pokémon,,,0.8,1.2,45,3840,1,90,45,30,30,40,['Wonder Guard'],0,2,1,1,0.5,1,0,0.5,0.5,2,1,0.5,2,2,1,2,1,1,0.0,0.0,0.0
293,III,Whismur,Gonyonyo,normal,,Whisper Pokémon,50.2,49.8,0.6,16.3,190,5120,64,51,23,51,23,28,"['Soundproof', 'Rattled (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
294,III,Loudred,Dogohmb,normal,,Big Voice Pokémon,50.2,49.8,1.0,40.5,120,5120,84,71,43,71,43,48,"['Soundproof', 'Scrappy (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
295,III,Exploud,Bakuong,normal,,Loud Noise Pokémon,50.2,49.8,1.5,84.0,45,5120,104,91,63,91,73,68,"['Soundproof', 'Scrappy (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
296,III,Makuhita,Makunoshita,fighting,,Guts Pokémon,75.4,24.6,1,86.4,180,5120,72,60,30,20,30,25,"['Thick Fat', 'Guts', 'Sheer Force (Hidden Ability)']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.0,0.0,0.0
297,III,Hariyama,Hariteyama,fighting,,Arm Thrust Pokémon,75.4,24.6,2.3,253.8,200,5120,144,120,60,40,60,50,"['Thick Fat', 'Guts', 'Sheer Force (Hidden Ability)']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.0,0.0,0.0
298,III,Azurill,Ruriri,normal,fairy,Polka Dot Pokémon,24.9,75.1,0.2,2.0,150,2560,50,20,40,20,40,20,"['Thick Fat', 'Huge Power', 'Sap Sipper (Hidden Ability)']",1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0.0,0.0,0.0
299,III,Nosepass,Nosepass,rock,,Compass Pokémon,50,50,1,97,255,5120,30,45,135,45,90,30,"['Sturdy', 'Magnet Pull', 'Sand Force (Hidden Ability)']",0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,0.0,0.0,0.0
300,III,Skitty,Eneco,normal,,Kitten Pokémon,24.6,75.4,0.6,11,255,3840,50,45,45,35,35,50,"['Cute Charm', 'Normalize', 'Wonder Skin (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
301,III,Delcatty,Enekororo,normal,,Prim Pokémon,24.6,75.4,1.1,32.6,60,3840,70,65,65,55,55,90,"['Cute Charm', 'Normalize', 'Wonder Skin (Hidden Ability)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
302,III,Sableye,Yamirami,dark,ghost,Darkness Pokémon,50.2,49.8,0.5,11.0,45,6400,50,75,75,65,65,50,"['Keen Eye', 'Stall', 'Prankster (Hidden Ability)']",0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2,0.0,0.0,0.0
303,III,Mawile,Kucheat,steel,fairy,Deceiver Pokémon,50.2,49.8,0.6,11.5,45,5120,50,85,85,55,55,50,"['Hyper Cutter', 'Intimidate', 'Sheer Force (Hidden Ability)']",0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5,0.0,0.0,0.0
304,III,Aron,Cokodora,steel,rock,Iron Armor Pokémon,50.2,49.8,0.4,60.0,180,8960,50,70,100,40,40,30,"['Sturdy', 'Rock Head', 'Heavy Metal (Hidden Ability)']",0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,0.0,0.0,0.0
305,III,Lairon,Kodora,steel,rock,Iron Armor Pokémon,50.2,49.8,0.9,120.0,90,8960,60,90,140,50,50,40,"['Sturdy', 'Rock Head', 'Heavy Metal (Hidden Ability)']",0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,0.0,0.0,0.0
